Index,sexe,age,province,bureau,visite_score,satisfait_score,la foule,Manque des employé,mauvaise maniere Traitement,les_horaires,jourFoule,bureauAvis,amileoration
0,Femme,entre 18 et 25ans,ZOUGHA,ZOUGHA,rarement,2,1,0,0,entre 9 et 11,lundi,fucck youuuuuu,
1,Femme,entre 18 et 25ans,ZOUGHA,ZOUGHA,rarement,2,0,0,1,,,nta matb9ach 7mar,
2,Homme,plus de 35ans,JNAN EL WARD,SAHB LWARD,plusieurs fois par année,4,0,0,1,,,Diro lina lwifi wclimat,
3,Homme,entre 18 et 25ans,FES-MEDINA,KARAOUIYINE,rarement,3,0,0,1,,,Aucune idée ,
4,Femme,entre 18 et 25ans,ZOUGHA,ZOUGHA,rarement,2,1,0,0,entre 9 et 11,mardi,Organiser les horaires,
5,Femme,entre 18 et 25ans,AGDAL,TARIKBATHA,des fois par année,2,0,0,1,,,Happy,
6,Femme,entre 18 et 25ans,MERINIDES,DHAR LAKHMISS,rarement,1,1,0,1,entre 9 et 11,lundi,L'organisation,
7,Homme,entre 18 et 25ans,JNAN EL WARD,SAHB LWARD,des fois par année,0,1,1,1,entre 9 et 11,vendredi,تعزيز المراقبة الادارية و زجر كل من يخرق القانون وكدا توعيت الناس بأهميت الشكاية وخلق مكتب شكايات يراقب بشكل دوري ,
8,Homme,entre 18 et 25ans,SAISS,NARJISS,des fois par année,3,0,1,1,entre 1 et 3,lundi,Organisation,
9,Femme,entre 18 et 25ans,ZOUGHA,ZOUGHA,rarement,2,1,0,0,entre 9 et 11,mardi,Rien,Pas mal malgré le manque de respect et negligence des personnel
10,Femme,entre 18 et 25ans,ZOUGHA,BENSOUDA,des fois par année,3,0,0,1,entre 11 et 1,lundi,embaucher des employé plus compétent  ,pas mal
11,Homme,entre 25 et 35,JNAN EL WARD,LOUIZAT,rarement,0,0,1,1,entre 11 et 1,lundi,Augmentation du nombre d'employés et digitalisation de la gestion,En mauvais état
12,Femme,entre 18 et 25ans,AGDAL,ADARISSABATHA,rarement,1,0,1,1,entre 9 et 11,lundi,G,G
13,Femme,moins de 18ans,AGDAL,TARIKBOUANANIA,rarement,2,0,1,1,entre 9 et 11,mardi,Je ne sais pass,Pas mal
14,Homme,entre 18 et 25ans,FES-MEDINA,BATHA,des fois par année,0,1,0,1,entre 9 et 11,lundi,idk,idk
15,Homme,entre 18 et 25ans,ZOUGHA,ZOUGHA,des fois par année,0,0,0,1,entre 9 et 11,lundi,Il faut embaucher et mettre en place des employes de plus pour faciliter la tache à eux et aux citoyens ,Nul
16,Homme,entre 18 et 25ans,SAISS,NARJISS,des fois par année,1,1,1,1,entre 9 et 11,lundi,Les tentatives de surveillance pour recevoir des pots de vin,je pense que il est mieux que les autres bureau j'ai deja visite
17,Homme,entre 18 et 25ans,SAISS,ZOUHOUR,des fois par année,0,0,1,1,entre 11 et 1,lundi,..... ,Sous-standard 
18,Homme,entre 18 et 25ans,SAISS,NARJISS,des fois par année,3,0,0,1,entre 9 et 11,lundi,Néant ,Néant 
19,Femme,entre 18 et 25ans,SAISS,ZOUHOUR,rarement,0,0,0,1,entre 9 et 11,mercredi,"Employer plus, development de locaux
",Mal
20,Homme,entre 25 et 35,JNAN EL WARD,JNANAT,des fois par année,3,0,0,1,entre 11 et 1,vendredi,Respecter et apprécier les conditions des citoyens, Moyenne dans la prestation de services
