Index,sexe,age,arrondissement,bureau,visite_score,communication,satisfait_score,la foule,Manque des employé,mauvaise maniere Traitement,les_horaires,jourFoule,bureauAvis,amileoration
0,Femme,entre 18 et 25ans,ZOUGHA,ZOUGHA,rarement,oui,2,oui,non,non,entre 9 et 11,lundi,aucune id�e,
1,Femme,entre 18 et 25ans,ZOUGHA,ZOUGHA,rarement,oui,2,non,non,oui,,,aucune id�e,
2,Homme,plus de 35ans,JNAN EL WARD,SAHB LWARD,plusieurs fois par année,oui,1,non,non,oui,,,aucune id�e,
3,Homme,entre 18 et 25ans,FES-MEDINA,KARAOUIYINE,rarement,non,3,non,non,oui,,,aucune id�e,
4,Femme,entre 18 et 25ans,ZOUGHA,ZOUGHA,rarement,oui,3,oui,non,non,entre 9 et 11,lundi,Organiser les horaires,
5,Femme,entre 18 et 25ans,AGDAL,TARIKBATHA,des fois par année,non,1,non,non,oui,,,Happy,
6,Femme,entre 18 et 25ans,MERINIDES,DHAR LAKHMISS,rarement,non,1,oui,non,oui,entre 9 et 11,lundi,L'organisation,
7,Homme,entre 18 et 25ans,JNAN EL WARD,SAHB LWARD,des fois par année,non,0,oui,oui,oui,entre 9 et 11,lundi, ,
8,Homme,entre 18 et 25ans,SAISS,NARJISS,des fois par année,non,3,non,oui,oui,entre 1 et 3,mardi,Organisation,
9,Femme,entre 18 et 25ans,ZOUGHA,ZOUGHA,rarement,non,2,oui,non,non,entre 9 et 11,lundi,Rien,Pas mal malgré le manque de respect et negligence des personnel
10,Femme,entre 18 et 25ans,ZOUGHA,BENSOUDA,des fois par année,non,3,non,non,oui,entre 11 et 1,mercredi,embaucher des employé plus compétent  ,pas mal
11,Homme,entre 25 et 35,JNAN EL WARD,LOUIZAT,rarement,oui,0,oui,oui,oui,entre 11 et 1,lundi,Augmentation du nombre d'employés et digitalisation de la gestion,En mauvais état
12,Femme,entre 18 et 25ans,AGDAL,ADARISSABATHA,rarement,non,1,non,oui,oui,entre 9 et 11,jeudi,G,G
13,Femme,moins de 18ans,AGDAL,TARIKBOUANANIA,rarement,oui,2,non,oui,oui,entre 9 et 11,lundi,Je ne sais pass,Pas mal
14,Homme,entre 18 et 25ans,FES-MEDINA,BATHA,des fois par année,non,0,oui,non,oui,entre 9 et 11,vendredi,idk,idk
15,Homme,entre 18 et 25ans,ZOUGHA,ZOUGHA,des fois par année,oui,4,non,non,oui,entre 9 et 11,lundi,Il faut embaucher et mettre en place des employes de plus pour faciliter la tache à eux et aux citoyens ,Nul
16,Homme,entre 18 et 25ans,SAISS,NARJISS,des fois par année,non,1,oui,oui,oui,entre 9 et 11,lundi,Les tentatives de surveillance pour recevoir des pots de vin,je pense que il est mieux que les autres bureau j'ai deja visite
17,Homme,entre 18 et 25ans,SAISS,ZOUHOUR,des fois par année,non,0,non,oui,oui,entre 11 et 1,mercredi,..... ,Sous-standard 
18,Homme,entre 18 et 25ans,SAISS,NARJISS,des fois par année,non,3,non,non,oui,entre 9 et 11,lundi,Néant ,Néant 
19,Femme,entre 18 et 25ans,SAISS,ZOUHOUR,rarement,non,0,non,non,oui,entre 9 et 11,mercredi,"Employer plus, development de locaux
",Mal
20,Homme,entre 25 et 35,JNAN EL WARD,JNANAT,des fois par année,oui,3,non,non,oui,entre 11 et 1,vendredi,Respecter et apprécier les conditions des citoyens, Moyenne dans la prestation de services
21,Homme,entre 18 et 25ans,FES-MEDINA,ANDALOUS,plusieurs fois par année,non,1,non,non,oui,entre 9 et 11,mercredi,Plus de bus pour réduire la congestion,Beau
22,Homme,entre 18 et 25ans,SAISS,MOURABITEN,rarement,non,3,non,oui,non,entre 9 et 11,mardi,Augmentation des fonctionnaires + chaque fonctionnaire travail dans ça spécialité ,Po mal
23,Homme,entre 18 et 25ans,JNAN EL WARD,JNANAT,des fois par année,non,2,oui,non,oui,entre 9 et 11,lundi,...,   كون مكاش صاحبو دالواليد خدام فيها كون راه كان شحال من بربليم
24,Homme,entre 25 et 35,SAISS,NARJISS,rarement,oui,1,oui,oui,oui,entre 1 et 3,lundi,Utilisation des données informatisées,Globalement bien
25,Homme,entre 18 et 25ans,JNAN EL WARD,SAHB LWARD,rarement,non,1,oui,non,oui,entre 9 et 11,lundi,respectés les citoyens,trés mal
26,Homme,entre 18 et 25ans,JNAN EL WARD,EL KOBA,rarement,non,1,non,non,oui,entre 9 et 11,mercredi,,
27,Femme,entre 18 et 25ans,ZOUGHA,EL MASSIRA,plusieurs fois par année,oui,3,non,non,oui,entre 9 et 11,jeudi,,
28,Homme,entre 18 et 25ans,JNAN EL WARD,SAHB LWARD,rarement,non,0,non,non,oui,entre 9 et 11,mardi,,
29,Homme,entre 18 et 25ans,AGDAL,SIDI BRAHIMANDALOUS,plusieurs fois par année,non,3,non,oui,oui,entre 9 et 11,mercredi,une meilleure formation pour les employés,pourrait être mieux
30,Femme,entre 18 et 25ans,JNAN EL WARD,SIDI BOUJIDA,des fois par année,non,3,non,oui,non,entre 9 et 11,jeudi,,
31,Femme,entre 18 et 25ans,MERINIDES,BEN DABBAB :,rarement,non,1,oui,non,non,entre 9 et 11,vendredi,,
